"Name","DisplayName","StartMode","State","PathName","Description","StartName","ServiceType"
"ALG","Application Layer Gateway Service","Manual","Stopped","C:\WINDOWS\System32\alg.exe","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing","NT AUTHORITY\LocalService","Own Process"
"AppIDSvc","Application Identity","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.","NT Authority\LocalService","Share Process"
"Appinfo","Application Information","Manual","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.","LocalSystem","Share Process"
"AppMgmt","Application Management","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Share Process"
"AppReadiness","App Readiness","Manual","Running","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p","Gets apps ready for use the first time a user signs in to this PC and when adding new apps.","LocalSystem","Share Process"
"AppVClient","Microsoft App-V Client","Disabled","Stopped","C:\WINDOWS\system32\AppVClient.exe","Manages App-V users and virtual applications","LocalSystem","Own Process"
"AppXSvc","AppX Deployment Service (AppXSVC)","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k wsappx -p","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.","LocalSystem","Share Process"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Auto","Running","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","LocalSystem","Share Process"
"Audiosrv","Windows Audio","Auto","Running","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","NT AUTHORITY\LocalService","Own Process"
"AxInstSV","ActiveX Installer (AxInstSV)","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup","Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings.","LocalSystem","Share Process"
"BFE","Base Filtering Engine","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","NT AUTHORITY\LocalService","Share Process"
"BITS","Background Intelligent Transfer Service","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.","LocalSystem","Share Process"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Windows infrastructure service that controls which background tasks can run on the system.","LocalSystem","Share Process"
"BTAGService","BTAGService","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted",,"NT AUTHORITY\LocalService","Share Process"
"BthAvctpSvc","BthAvctpSvc","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalService -p",,"NT AUTHORITY\LocalService","Share Process"
"bthserv","Bluetooth Support Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalService -p","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.","NT AUTHORITY\LocalService","Share Process"
"camsvc","Capability Access Manager Service","Manual","Running","C:\WINDOWS\system32\svchost.exe -k osprivacy -p","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities","LocalSystem","Share Process"
"CDPSvc","Connected Devices Platform Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalService -p","This service is used for Connected Devices Platform scenarios","NT AUTHORITY\LocalService","Share Process"
"CertPropSvc","Certificate Propagation","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs","Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.","LocalSystem","Share Process"
"ClipSVC","Client License Service (ClipSVC)","Manual","Running","C:\WINDOWS\System32\svchost.exe -k wsappx -p","Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using the Microsoft Store will not behave correctly.","LocalSystem","Share Process"
"COMSysApp","COM+ System Application","Manual","Stopped","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Own Process"
"CoreMessagingRegistrar","CoreMessaging","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","Manages communication between system components.","NT AUTHORITY\LocalService","Share Process"
"CryptSvc","Cryptographic Services","Auto","Running","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","NT Authority\NetworkService","Own Process"
"CscService","Offline Files","Disabled","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state.","LocalSystem","Share Process"
"DcomLaunch","DCOM Server Process Launcher","Auto","Running","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","LocalSystem","Share Process"
"dcsvc","Declared Configuration(DC) service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Process Declared Configuration documents recevied from MDM and other channels and perform configurations on device","LocalSystem","Own Process"
"defragsvc","Optimize drives","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k defragsvc","Helps the computer run more efficiently by optimizing files on storage drives.","localSystem","Own Process"
"DeviceAssociationService","Device Association Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Enables pairing between the system and wired or wireless devices.","LocalSystem","Share Process"
"DeviceInstall","Device Install Service","Manual","Running","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","LocalSystem","Share Process"
"DevQueryBroker","DevQuery Background Discovery Broker","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Enables apps to discover devices with a backgroud task","LocalSystem","Share Process"
"Dhcp","DHCP Client","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","NT Authority\LocalService","Share Process"
