DiffType,Service Name,Display Name,Default Setting (2025),Prior Default (2022),Recommendation,Justification,Enforcement Path,Reference Note
Changed StartType,AudioEndpointBuilder,Windows Audio Endpoint Builder,Auto,Manual,Set to Disabled,Windows Audio not needed on servers; OK to disable per MS guidance.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: Server services guidance (Windows Audio)
Changed StartType,Audiosrv,Windows Audio,Auto,Manual,Set to Disabled,Windows Audio not needed on servers; OK to disable per MS guidance.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: Server services guidance (Windows Audio)
Changed StartType,AxInstSV,ActiveX Installer (AxInstSV),Manual,Disabled,Set to Disabled,ActiveX Installer Service seldom used; OK to disable per MS guidance.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: Server services guidance (AxInstSV)
Changed StartType,GraphicsPerfSvc,GraphicsPerfSvc,Manual,Disabled,Set to Disabled,Graphics performance logging not needed on servers.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: services guidance
Changed StartType,NlaSvc,Network Location Awareness,Manual,Auto,Leave default (Manual),Network Location Awareness is core networking; don't disable.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: services guidance
Changed StartType,PcaSvc,Program Compatibility Assistant Service,Auto,Manual,Set to Disabled,Program Compatibility Assistant not needed; OK to disable per MS guidance.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: Server services guidance (PCA)
Changed StartType,PushToInstall,Windows PushToInstall Service,Manual,Disabled,Set to Disabled,Push-to-Install consumer feature; OK to disable.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: services guidance (Client features)
Changed StartType,RmSvc,Radio Management Service,Manual,Disabled,Set to Disabled,Radio Management/Airplane Mode not needed; OK to disable per MS guidance.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: Server services guidance (Radio Mgmt)
Changed StartType,SEMgrSvc,Payments and NFC/SE Manager,Manual,Disabled,Set to Disabled,Payments/NFC not needed on servers.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: services guidance
Changed StartType,ScDeviceEnum,Smart Card Device Enumeration Service,Manual,Disabled,Disable unless smart cards with WinRT apps are in scope,Safe to disable; needed for WinRT APIs only.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: Server services guidance (Smart Card Device Enumeration)
Changed StartType,SensorDataService,Sensor Data Service,Manual,Disabled,Set to Disabled,Sensor stack not needed on servers; OK to disable.,GPO: Computer\Windows Settings\Security Settings\System Services; or SCCM DCM/CI,MS Learn: Server services guidance (Sensor*)
